datetime,signal,instrument,strike,entry,exit,pnl
2023-01-11 11:55:00+05:30,1,NIFTY12JAN2317900CE,17900.0,92.45,92.35,-0.10000000000000853
2023-01-11 12:20:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,86.75,89.5,-2.75
2023-01-11 12:25:00+05:30,1,NIFTY12JAN2317900CE,17900.0,90.35,94.6,4.25
2023-01-11 12:40:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,78.4,80.35,-1.9499999999999886
2023-01-11 13:05:00+05:30,1,NIFTY12JAN2317900CE,17900.0,79.95,84.9,4.950000000000003
2023-01-11 13:50:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,79.65,79.8,-0.14999999999999147
2023-01-11 14:35:00+05:30,1,NIFTY12JAN2317900CE,17900.0,74.85,73.3,-1.5499999999999972
2023-01-11 15:10:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,64.9,66.1,-1.1999999999999886
2023-01-12 09:20:00+05:30,1,NIFTY12JAN2317900CE,17900.0,70.5,71.6,1.0999999999999943
2023-01-12 09:50:00+05:30,-1,NIFTY12JAN2317900CE,17900.0,45.65,42.95,2.6999999999999957
2023-01-12 10:50:00+05:30,1,NIFTY12JAN2317850CE,17850.0,37.0,32.75,-4.25
2023-01-12 11:15:00+05:30,-1,NIFTY12JAN2317800CE,17800.0,44.6,47.95,-3.3500000000000014
2023-01-12 11:35:00+05:30,1,NIFTY12JAN2317800CE,17800.0,49.65,55.9,6.25
2023-01-12 11:55:00+05:30,-1,NIFTY12JAN2317800CE,17800.0,33.4,36.4,-3.0
2023-01-12 12:10:00+05:30,1,NIFTY12JAN2317800CE,17800.0,46.25,44.0,-2.25
2023-01-12 13:15:00+05:30,-1,NIFTY12JAN2317850CE,17850.0,21.95,21.8,0.14999999999999858
2023-01-12 14:00:00+05:30,1,NIFTY12JAN2317800CE,17800.0,34.05,36.4,2.3500000000000014
2023-01-12 14:45:00+05:30,-1,NIFTY12JAN2317850CE,17850.0,6.35,7.25,-0.9000000000000004
2023-01-12 15:05:00+05:30,1,NIFTY12JAN2317850CE,17850.0,15.95,7.6,-8.35
2023-01-13 09:20:00+05:30,-1,NIFTY19JAN2317850CE,17850.0,133.35,133.0,0.3499999999999943
2023-01-13 10:25:00+05:30,1,NIFTY19JAN2317800CE,17800.0,144.1,143.0,-1.0999999999999943
2023-01-13 11:35:00+05:30,-1,NIFTY19JAN2317800CE,17800.0,149.45,150.6,-1.1500000000000057
2023-01-13 11:40:00+05:30,1,NIFTY19JAN2317850CE,17850.0,122.15,120.5,-1.6500000000000057
2023-01-13 11:45:00+05:30,-1,NIFTY19JAN2317800CE,17800.0,142.1,146.1,-4.0
2023-01-13 12:00:00+05:30,1,NIFTY19JAN2317850CE,17850.0,123.9,121.8,-2.1000000000000085
2023-01-13 12:45:00+05:30,-1,NIFTY19JAN2317900CE,17900.0,133.0,132.7,0.30000000000001137
2023-01-13 12:50:00+05:30,1,NIFTY19JAN2317900CE,17900.0,154.2,154.35,0.15000000000000568
2023-01-13 13:25:00+05:30,-1,NIFTY19JAN2317950CE,17950.0,151.65,151.45,0.20000000000001705
2023-01-13 15:25:00+05:30,1,NIFTY19JAN2317950CE,17950.0,125.2,126.3,1.0999999999999943
2023-01-13 15:30:00+05:30,-1,NIFTY19JAN2317950CE,17950.0,121.0,121.0,-0.0
2023-01-16 09:20:00+05:30,1,NIFTY19JAN2318050CE,18050.0,93.8,88.4,-5.3999999999999915
2023-01-16 09:40:00+05:30,-1,NIFTY19JAN2317950CE,17950.0,127.4,128.35,-0.9499999999999886
2023-01-16 10:10:00+05:30,1,NIFTY19JAN2318000CE,18000.0,93.0,97.4,4.400000000000006
2023-01-16 10:20:00+05:30,-1,NIFTY19JAN2317950CE,17950.0,109.0,111.8,-2.799999999999997
2023-01-16 10:45:00+05:30,1,NIFTY19JAN2318000CE,18000.0,88.6,90.1,1.5
2023-01-16 11:05:00+05:30,-1,NIFTY19JAN2317950CE,17950.0,111.55,107.0,4.549999999999997
2023-01-16 11:55:00+05:30,1,NIFTY19JAN2317950CE,17950.0,96.8,92.8,-4.0
2023-01-16 12:00:00+05:30,-1,NIFTY19JAN2317950CE,17950.0,92.4,89.95,2.450000000000003
2023-01-16 12:40:00+05:30,1,NIFTY19JAN2317900CE,17900.0,108.9,105.5,-3.4000000000000057
2023-01-16 12:55:00+05:30,-1,NIFTY19JAN2317900CE,17900.0,98.0,98.8,-0.7999999999999972
2023-01-16 13:05:00+05:30,1,NIFTY19JAN2317900CE,17900.0,104.0,102.4,-1.5999999999999943
2023-01-16 13:50:00+05:30,-1,NIFTY19JAN2317900CE,17900.0,100.0,98.55,1.4500000000000028
2023-01-16 14:35:00+05:30,1,NIFTY19JAN2317900CE,17900.0,93.45,91.5,-1.9500000000000028
2023-01-16 14:45:00+05:30,-1,NIFTY19JAN2317850CE,17850.0,116.3,113.95,2.3499999999999943
2023-01-16 15:00:00+05:30,1,NIFTY19JAN2317850CE,17850.0,122.85,122.55,-0.29999999999999716
